Date,Open,High,Low,Close,Volume,Cluster
2019-10-29,191.690002,192.529999,188.470001,189.309998,13574900.0,0
2019-10-28,187.199997,189.529999,185.080002,189.399994,13657900.0,0
2019-10-25,185.830002,189.0,185.089996,187.889999,8061200.0,0
2019-10-24,184.619995,186.729996,182.800003,186.380005,11413500.0,0
2019-10-23,182.009995,186.380005,182.0,186.149994,12300400.0,0
2019-10-22,190.0,190.649994,181.5,182.339996,19537600.0,0
2019-10-21,187.039993,189.910004,186.75,189.759995,8122600.0,0
2019-10-18,190.229996,191.490005,183.919998,185.850006,16874200.0,0
2019-10-17,190.300003,190.839996,188.770004,190.389999,9603000.0,0
2019-10-16,188.320007,189.699997,186.899994,189.550003,10516900.0,0
2019-10-15,183.800003,190.380005,183.660004,188.889999,15039100.0,0
2019-10-14,184.199997,184.619995,182.570007,183.279999,7006000.0,0
2019-10-11,182.149994,186.490005,182.139999,184.190002,14930500.0,0
2019-10-10,180.320007,181.610001,179.169998,180.029999,8605000.0,0
2019-10-09,179.160004,180.720001,177.940002,179.850006,7556900.0,0
2019-10-08,178.259995,180.369995,177.720001,177.75,9466900.0,0
2019-10-07,180.0,181.179993,178.089996,179.679993,9178300.0,0
2019-10-04,179.550003,180.979996,178.100006,180.449997,10430200.0,0
2019-10-03,175.570007,179.839996,173.630005,179.380005,16086300.0,0
2019-10-02,174.839996,176.529999,173.089996,174.600006,16151700.0,0
2019-10-01,179.149994,179.839996,174.880005,175.809998,17073000.0,0
2019-09-30,177.869995,178.669998,176.850006,178.080002,10740000.0,0
2019-09-27,180.490005,180.759995,175.660004,177.100006,14656200.0,0
2019-09-26,181.330002,181.399994,177.669998,180.110001,16083300.0,0
2019-09-25,181.449997,183.419998,177.869995,182.800003,18068300.0,0
2019-09-24,187.979996,188.039993,180.389999,181.279999,18546600.0,0
2019-09-23,189.339996,190.100006,185.210007,186.820007,13327600.0,0
2019-09-20,190.660004,193.100006,188.119995,189.929993,19934200.0,0
2019-09-19,188.660004,191.100006,188.149994,190.139999,10392700.0,0
2019-09-18,188.089996,189.080002,186.009995,188.139999,9681900.0,0
2019-09-17,186.660004,188.320007,185.539993,188.080002,9671100.0,0
2019-09-16,186.929993,187.789993,185.770004,186.220001,8444800.0,0
2019-09-13,187.330002,187.970001,186.539993,187.190002,11441100.0,0
